house_title,location,emi,price,bathroom,parking,localityTruncated,propertyType,state,typeDesc,propertySize
"2 BHK Flat  For Sale  In Pimpri-chinchwad, ","Pimpri-Chinchwad, ","34,388/Month",6000000,2,BOTH,"Pimpri-Chinchwad, ",BUY,READY,2 BHK,1200
4+ BHK Flat  For Sale  In Nigdi,Nigdi,"80,240/Month",14000000,6,BOTH,Nigdi,BUY,READY,4+ BHK,2180
2 BHK Flat  In Renuka Vrindavan For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"40,120/Month",7000000,1,FOUR_WHEELER,Pimpri Chinchwad,BUY,READY,2 BHK,950
2 BHK Flat  In Abc Courtyard 15 For Sale  In Chikhali,Chikhali,"37,254/Month",6500000,2,FOUR_WHEELER,Chikhali,BUY,READY,2 BHK,1105
2 BHK House  For Sale  In Chinchwad,Chinchwad,"77,374/Month",13500000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1500
"1 BHK Flat  In Kakade Township,keshav Nagar,chinchwad For Sale  In Kakade Township",KAKADE TOWNSHIP,"20,489/Month",3575000,1,TWO_WHEELER,KAKADE TOWNSHIP,BUY,READY,1 BHK,610
2 BHK Flat  In Sukhwani Udyan For Sale  In Chinchwad,Chinchwad,"38,973/Month",6800000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,967
"3 BHK Flat  In Shree Samarth Apartment Pimpri Chinchwad, Pimpri Chinchwad For Sale  In Pimpri Chinchwad",Pimpri Chinchwad,"48,717/Month",8500000,2,BOTH,Pimpri Chinchwad,BUY,READY,3 BHK,1200
"3 BHK Flat  In Shree Samarth Apartment Pimpri Chinchwad, Pimpri Chinchwad For Sale  In Pimpri Chinchwad",Pimpri Chinchwad,"48,717/Month",8500000,2,BOTH,Pimpri Chinchwad,BUY,READY,3 BHK,1200
3 BHK Flat  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"49,863/Month",8700000,2,BOTH,Pimpri-Chinchwad,BUY,READY,3 BHK,2200
"1 BHK Flat  In Morya Apartment For Sale  In Pimpri-chinchwad,","Pimpri-Chinchwad,","24,358/Month",4250000,1,FOUR_WHEELER,"Pimpri-Chinchwad,",BUY,READY,1 BHK,700
1 BHK Flat  In Shivadatta Residency For Sale  In Akurdi,Akurdi,"31,522/Month",5500000,1,TWO_WHEELER,Akurdi,BUY,READY,1 BHK,650
3 BHK Flat  In Gmc Empire For Sale  In Chinchwad,Chinchwad,"43,273/Month",7550250,2,BOTH,Chinchwad,BUY,READY,3 BHK,2000
2 BHK Flat  In Empire Estate K Block Chs For Sale  In Chinchwad,Chinchwad,"75,655/Month",13200000,2,BOTH,Chinchwad,BUY,READY,2 BHK,1730
1 RK Flat  In Giriraj Gardens For Sale  In Chinchwad,Chinchwad,"14,328/Month",2500000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 RK,416
"1 BHK Flat  In Mangal Shilp, Chinchwad For Sale  In Chinchwad",Chinchwad,"25,791/Month",4500000,1,BOTH,Chinchwad,BUY,READY,1 BHK,620
2 BHK Flat  For Sale  In Dalvinagar,Dalvinagar,"47,571/Month",8300000,2,FOUR_WHEELER,Dalvinagar,BUY,READY,2 BHK,1055
